"id","address","coordinates","phone","rating","restaurent","review_count","timestamp","zip_code"
"uaFHoq-a5XqxF-bsOK9_Qg","[{""S"":""811 8th Ave""},{""S"":""New York, NY 10019""}]","40.7616286634162 , -73.98688","(917) 388-2555","3.5","Real Kung Fu Little Steamed Buns Ramen","1065","03/03/2022, 22:36:35","10019"
"IhSVn0TaX8xXb3wcQ-fgcA","[{""S"":""118A Eldridge St""},{""S"":""New York, NY 10002""}]","40.71839 , -73.9917399","(212) 625-8008","4.0","Vanessa's Dumpling House","2732","03/03/2022, 22:36:33","10002"
"je92kXXWjANmiN-dfwNapg","[{""S"":""110 1st Ave""},{""S"":""New York, NY 10009""}]","40.7266273498535 , -73.9856719970703","(646) 692-9398","4.0","Sushi Dojo NYC","509","03/03/2022, 22:37:10","10009"
"aSprnLY-6GkMk1cuv0TMeA","[{""S"":""248 5th Ave""},{""S"":""Brooklyn, NY 11215""}]","40.675332643247 , -73.981340475038","(718) 783-4565","4.0","Al Di La Trattoria","917","03/03/2022, 22:37:00","11215"
"5fRh0bh2HDGYb7Lsms36vQ","[{""S"":""16 1/2 1/2 Columbia Ave E""},{""S"":""Palisades Park, NJ 07650""}]","40.8424226 , -74.0010624","(201) 945-6628","3.5","China Moon Restaurant","31","03/03/2022, 22:37:31","07650"
"YwpP-mgXV5N35xhLibLw5g","[{""S"":""453 Rogers Ave""},{""S"":""Brooklyn, NY 11225""}]","40.66127 , -73.95342","(718) 513-0698","4.0","Mo's Original","139","03/03/2022, 22:37:16","11225"
"RR2EAtBRVzoP8icHrHGDJg","[{""S"":""337 9th St""},{""S"":""Brooklyn, NY 11215""}]","40.6688691536583 , -73.9852216467261","","4.5","Golden Shovel","21","03/03/2022, 22:37:28","11215"
"fyepvQnhH7O1Bw9V4Xu-OA","[{""S"":""2308 Bergenline Ave""},{""S"":""Union City, NJ 07087""}]","40.767234 , -74.03244","(201) 867-3065","4.5","La Bella Salumeria Delicatessen","62","03/03/2022, 22:37:06","07087"
"FXhSEZfIqjMZh4hR0_8jMQ","[{""S"":""360 W 42nd Street""},{""S"":""New York, NY 10036""}]","40.7582902125633 , -73.9925113993899","(212) 967-6088","4.0","China Xiang 中国湘","517","03/03/2022, 22:37:20","10036"
"uVfOB37NyYEGRs5FITM-nQ","[{""S"":""221 Smith St""},{""S"":""Brooklyn, NY 11201""}]","40.68431 , -73.99197","(347) 987-3260","4.0","Leyenda","276","03/03/2022, 22:37:36","11201"
"0kFP2UiYHoJHx6d9w1ZNhg","[{""S"":""59 W 19th St  6th Ave""},{""S"":""New York, NY 10011""}]","40.740340571777736 , -73.9940366581415","","3.5","El Carrito Rojo","21","03/03/2022, 22:37:43","10011"
"8Gg_SoA5TA7pLNB-xuPhPw","[{""S"":""100 W 83rd St""},{""S"":""New York, NY 10024""}]","40.78458 , -73.97393","(212) 580-6200","3.5","Mexikosher","79","03/03/2022, 22:37:39","10024"
